,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
191,Data Science Intern,Machine Learning Engineer,Brave AI Lab,India,"Hands-on experience and project-based learning in computer science, engineering, or mathematics are preferred.
Minimum 6 months of Experience in Python.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=3d05dd5d02183025&fccid=f126c0eccc0e9a22&vjs=3
192,Data Engineer,Machine Learning Engineer,Brainfloss Private Limited,"Pune, Maharashtra","The ideal candidate will have hands-on experience in designing, building, and maintaining large-scale data processing systems and will be comfortable working…",EmployerActive 3 days ago,"₹60,000 - ₹2,00,000 a month",2023-08-30,https://in.indeed.com/company/Brainfloss-Private-Limited/jobs/Data-Engineer-12f0c6d57b2a8926?fccid=00c3c392b24cb201&vjs=3
193,Machine Learning Engineer- II,Machine Learning Engineer,General Mills,"Remote in Mumbai, Maharashtra","General Mills, Digital and Technology India, is seeking Sr Machine Learning Engineer to join the Enterprise Data Capabilities Organization.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=4fcb293602740831&fccid=3bcf7eb192e678e4&vjs=3
194,Machine Learning Expert,Machine Learning Engineer,nslhub,"Hyderabad, Telangana","Develop and integrate deep learning algorithms for transfer learning (Simulated< =>Real Data), and end-to-end reinforcement learning for control.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=bda20cdd083ad399&fccid=3a2540cc3d0e76ae&vjs=3
195,AI Engineer,Machine Learning Engineer,Kore.ai,"Hyderabad, Telangana","Solid understanding of ML algorithms, such as deep learning, decision trees, clustering, and regression.
Collaborate with cross-functional teams to understand…",PostedPosted 13 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=45c801e1760bf555&fccid=f7f06a3b2e3a0f7c&vjs=3
196,AI Engineer,Machine Learning Engineer,Firstventure Corporation,"Nariman Point, Mumbai, Maharashtra","Work with other machine learning engineers, data engineers, and AI engineers to develop machine learning models.
Experience with machine learning algorithms.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=ab7b6fc66c19f6de&fccid=4a97645f66cef431&vjs=3
197,Statistics -Data Analyst,Machine Learning Engineer,Algowire Trading Technologies pvt .ltd,"Noida, Uttar Pradesh","Strong mathematical abilities, including linear algebra, calculus, probability.
Expertise in applied and theoretical statistics.
Total work: 1 year (Preferred).",EmployerActive 11 days ago,"₹3,00,000 - ₹12,00,000 a year",2023-08-30,https://in.indeed.com/company/Algowire-Trading-Technologies-pvt-.ltd/jobs/Statistical-Analyst-2f152bce1149ac4b?fccid=049bd812c775b78c&vjs=3
198,Data Science Intern,Machine Learning Engineer,Innomatics Research Labs,"Hyderabad, Telangana","Understanding of machine-learning and data science life cycle.
Expert knowledge of Python and Python libraries responsible for Data Analysis, Machine Learning…",EmployerActive 2 days ago,"Up to ₹2,40,000 a year",2023-08-30,https://in.indeed.com/company/Innomatics-Research-Labs/jobs/Data-Science-Intern-9147b02a64735375?fccid=12c8cee80e07dac8&vjs=3
199,Machine Learning Engineer,Machine Learning Engineer,DeepEdge,"Hyderabad, Telangana",Machine Learning engineers with 1-3 years of industry experience.,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=764b264a34840672&fccid=2c17e12ff8e4347a&vjs=3
200,Software Engineering,Machine Learning Engineer,KPMG,"Bengaluru, Karnataka","We are looking for entrepreneurial leaders to drive growth and build strategic relationships.
KPMG is looking for Core Java/Middleware Developers having hands…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=56e06894e6f79f94&fccid=2dd390c3a48a7ed0&vjs=3
