,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
289,SQL Data & Reporting Analyst,Data Analyst,CSC (Corporation Service Company),"Bengaluru, Karnataka","Integrate data from multiple data sets, analyse and interpret complex data sets and make findings relevant and actionable for both internal and external…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=319f69deddeae02d&fccid=d46b413c42e26024&vjs=3
290,Data & Analytics,Data Analyst,7N,Remote,"Oracle Database- performance tuning - SQL/PLSQL- expert level.
Unix, linux -redhat or any other OS - more than average level.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=a1f487161d13d939&fccid=050cf6e1fc6835a8&vjs=3
291,Oracle and Data Analyst,Data Analyst,L.E.K. Consulting,"New Delhi, Delhi","Perform data cleansing, transformation, and validation to ensure data accuracy and integrity.
Collaborate with IT teams to ensure data security, access controls…",PostedPosted 12 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=35600188e8bf314c&fccid=0e519079c507726f&vjs=3
292,DATA ANALYST,Data Analyst,Knowledge Excel Services.,"Delhi, Delhi","Experience in data cleaning and data tabulation.
Strong understanding of data management using SPSS.
Strong analytical, communication and team.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=fa25aff28bd57921&fccid=723fa39290db0d18&vjs=3
293,Data mining analyst (Part,Data Analyst,Arsh Biotech,India,Essential Qualifications: Bachelors in any of the Life Sciences (Students undertaking Bachelors may also apply). Excellent written communication skills and…,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=dc5db3f7cb62df24&fccid=3736ac3d8f80736b&vjs=3
294,Business Analyst,Data Analyst,SmartConnect Technologies (UNFYD),"Mumbai, Maharashtra",Perform data analysis on CRM and Contact Centre data to extract meaningful insights and recommend data-driven solutions to enhance decision-making and process…,EmployerActive 2 days ago,"₹4,00,000 - ₹10,00,000 a year",2023-08-30,https://in.indeed.com/company/SmartConnect-Technologies-(UNFYD)/jobs/Business-Analyst-57b95b83bb43b540?fccid=bc9b3a2b00e2f961&vjs=3
295,Quantitative Analyst,Data Analyst,William O’Neil India,"Bengaluru, Karnataka","Analyze financial time series data to identify profitable trading opportunities.
Work closely with our data science and investment management teams to provide…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=f4a98d2434ed30ca&fccid=63c0c16741810b13&vjs=3
296,Data Analyst,Data Analyst,99Plus IT Solutions,"Vadodara, Gujarat","Experience in data-driven problem solving.
Identify and Analyze trends or patterns in complex data sets using statistical methods.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=93c0d575a6cc3325&fccid=84bb6f6ff0f5124d&vjs=3
297,Data Solutions - ESG Analytics and Portfolio Insights Associate,Data Analyst,JPMorgan Chase & Co,"Mumbai, Maharashtra","Engage with external stakeholders, including market data vendors, to gather information and insights.
Collaborate with internal stakeholders, including product…",PostedPosted 12 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1bb391b28d895738&fccid=c46d0116f6e69eae&vjs=3
298,Power BI Developer - Data Visualization with AWS,Data Analyst,Winning Edge,"Bengaluru, Karnataka"," Knowledge of the data architectures associated with information integration, data visualization, & data warehousing.
Redshift, and AWS Code Pipeline.*.",EmployerActive 2 days ago,"₹12,49,599 - ₹20,88,967 a year",2023-08-30,https://in.indeed.com/company/Winning-Edge/jobs/Business-Intelligence-Developer-f70982018c76dc13?fccid=d5c4a1f49c103f47&vjs=3
299,Data Analyst,Data Analyst,Proclink,"Ahmedabad, Gujarat","Ability to guide analysts and review the work products, including code.
Advanced programming skills, proficiency with R or Python, experience using other…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=ce0d90a4e5b0bcc3&fccid=52dd07bccc9258c6&vjs=3
